                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     55,                 1.4733,                 1.9815,                 1.8883,                0.57648,                0.15789,                0.07253,                0.04576,                  1.812,                 3.8669,                 2.0942,              0.0011791,              0.0011791,              0.0011791
                     56,                 1.4657,                 1.9575,                 1.8829,                0.57212,                0.13158,                0.07359,                0.04968,                 1.8242,                  3.688,                 2.1086,              0.0011744,              0.0011744,              0.0011744
                     57,                 1.4374,                 1.9016,                 1.8552,                0.58023,                0.17982,                0.07728,                0.04882,                 1.7482,                 3.4824,                 2.0518,              0.0011696,              0.0011696,              0.0011696
                     58,                 1.4513,                 1.9012,                 1.8335,                0.57914,                0.15789,                0.06823,                0.04432,                 1.7781,                  3.782,                 2.0676,              0.0011649,              0.0011649,              0.0011649
                     59,                 1.4382,                 1.9315,                 1.8439,                0.06042,                0.19298,                0.09515,                0.06423,                 1.7465,                 3.5594,                 2.0549,              0.0011602,              0.0011602,              0.0011602
                     60,                 1.4368,                 1.9088,                 1.8324,                0.05333,                0.22368,                0.11458,                0.08398,                  1.732,                  3.546,                  2.063,              0.0011555,              0.0011555,              0.0011555
                     61,                 1.4224,                  1.889,                 1.8217,                0.57679,                0.16228,                0.07704,                 0.0475,                 1.7746,                 3.5074,                 2.0545,              0.0011508,              0.0011508,              0.0011508
                     62,                 1.4382,                 1.8989,                 1.8268,                0.57847,                0.16228,                 0.0622,                0.04082,                 1.8549,                 3.5569,                 2.1112,              0.0011461,              0.0011461,              0.0011461
                     63,                 1.4236,                 1.8847,                 1.8384,                0.57869,                0.16228,                0.09521,                0.06859,                  1.738,                 3.8579,                  2.025,              0.0011413,              0.0011413,              0.0011413
                     64,                  1.438,                 1.9208,                 1.8466,                 0.5711,                0.16505,                 0.0898,                0.06324,                 1.7598,                 3.6852,                  2.067,              0.0011366,              0.0011366,              0.0011366
                     65,                 1.4033,                 1.8974,                 1.8043,                0.58128,                0.17544,                0.09665,                0.06299,                 1.7743,                 3.8773,                 2.1007,              0.0011319,              0.0011319,              0.0011319
                     66,                  1.415,                 1.8397,                 1.8119,                0.05305,                0.21491,                0.12578,                0.09593,                 1.7601,                 3.8643,                  2.026,              0.0011272,              0.0011272,              0.0011272
                     67,                 1.4254,                 1.9044,                 1.8158,                0.57593,                0.17982,                0.07957,                0.05094,                  1.745,                 3.7458,                 2.1068,              0.0011225,              0.0011225,              0.0011225
                     68,                 1.4046,                 1.8587,                 1.7969,                0.57111,                0.16228,                0.09699,                0.06756,                  1.765,                   3.52,                 2.0616,              0.0011178,              0.0011178,              0.0011178
                     69,                 1.4191,                 1.9154,                 1.8089,                0.04035,                0.24561,                0.18871,                 0.1342,                 1.7692,                 4.0514,                 2.0693,               0.001113,               0.001113,               0.001113
                     70,                  1.355,                 1.7899,                 1.7655,                0.57587,                0.15351,                0.08648,                0.05161,                 1.8976,                 3.4081,                 2.1386,              0.0011083,              0.0011083,              0.0011083
                     71,                 1.4112,                 1.8508,                 1.8013,                0.57612,                0.17982,                0.08602,                0.05394,                 1.7662,                 4.1673,                   2.04,              0.0011036,              0.0011036,              0.0011036
                     72,                  1.381,                 1.8357,                 1.7849,                 0.5795,                0.14912,                0.08071,                0.05396,                 1.8047,                 4.1036,                 2.0608,              0.0010989,              0.0010989,              0.0010989
                     73,                 1.3823,                 1.8613,                 1.7788,                0.58348,                0.19298,                0.11044,                0.08331,                 1.7722,                 3.6202,                 2.0638,              0.0010942,              0.0010942,              0.0010942
                     74,                 1.3961,                 1.8134,                 1.7976,                0.62144,                0.09649,                0.11419,                 0.0847,                 1.7987,                 3.8474,                  2.051,              0.0010895,              0.0010895,              0.0010895
                     75,                 1.3554,                 1.7535,                 1.7693,                0.05457,                0.23684,                0.10498,                0.07119,                 1.7833,                 3.6841,                 2.0504,              0.0010848,              0.0010848,              0.0010848
                     76,                 1.3571,                 1.8283,                 1.7532,                0.58206,                0.17982,                0.13714,                0.09726,                 1.7498,                  3.931,                 2.0401,                0.00108,                0.00108,                0.00108
                     77,                 1.3673,                 1.8165,                 1.7602,                0.10228,                0.72368,                0.14317,                0.09352,                 1.7318,                 3.7593,                 2.0765,              0.0010753,              0.0010753,              0.0010753
                     78,                 1.3751,                 1.7834,                 1.7699,                0.08983,                0.69737,                 0.1077,                0.06385,                 1.6862,                 3.3866,                 1.9479,              0.0010706,              0.0010706,              0.0010706
                     79,                 1.3402,                 1.7429,                 1.7416,                0.16892,                0.74133,                0.23489,                0.19026,                 1.7804,                 3.4781,                 2.0353,              0.0010659,              0.0010659,              0.0010659
                     80,                 1.3192,                 1.7407,                 1.7311,                0.17281,                0.74561,                0.56496,                0.48913,                 1.7345,                 3.8551,                 2.0027,              0.0010612,              0.0010612,              0.0010612
                     81,                 1.3193,                 1.7807,                 1.7195,                0.04818,                0.21491,                0.12182,                 0.0932,                 1.7578,                 3.5373,                 2.0077,              0.0010565,              0.0010565,              0.0010565
                     82,                 1.3833,                 1.7801,                 1.7811,                0.13827,                0.73684,                0.15282,                0.11615,                 1.7529,                 3.5025,                 2.0129,              0.0010517,              0.0010517,              0.0010517
                     83,                 1.3338,                 1.7377,                  1.736,                0.11121,                0.72807,                0.15996,                0.12451,                 1.7769,                 3.5627,                 2.0954,               0.001047,               0.001047,               0.001047
                     84,                 1.3512,                 1.7449,                 1.7418,                0.09135,                0.72368,                0.14944,                0.11249,                 1.8402,                 3.3358,                 2.1125,              0.0010423,              0.0010423,              0.0010423
                     85,                 1.3287,                 1.7401,                 1.7169,                0.10226,                0.75439,                0.19596,                0.14332,                 1.7473,                 3.9771,                 2.0241,              0.0010376,              0.0010376,              0.0010376
                     86,                 1.3157,                 1.7452,                 1.7059,                0.12665,                0.66283,                0.14654,                0.10575,                 1.8801,                  3.863,                 2.1468,              0.0010329,              0.0010329,              0.0010329
                     87,                 1.3042,                 1.7252,                 1.7126,                 0.0963,                0.69737,                0.09428,                0.06411,                 1.7929,                 3.5752,                 2.0766,              0.0010282,              0.0010282,              0.0010282
                     88,                 1.3134,                 1.7438,                 1.7198,                0.59099,                0.15351,                0.06623,                0.04259,                 1.8364,                  3.725,                 2.1186,              0.0010234,              0.0010234,              0.0010234
                     89,                 1.3376,                 1.7298,                 1.7254,                0.07013,                 0.7193,                0.07943,                0.05077,                 1.8974,                 3.6543,                 2.1071,              0.0010187,              0.0010187,              0.0010187
                     90,                 1.3399,                 1.7026,                  1.719,                0.10483,                0.72807,                0.19162,                0.15364,                   1.74,                 3.4956,                 2.0112,               0.001014,               0.001014,               0.001014
                     91,                 1.3272,                 1.7415,                 1.7118,                 0.0999,                0.68421,                0.14371,                 0.1145,                 1.7669,                 3.6408,                  2.017,              0.0010093,              0.0010093,              0.0010093
                     92,                 1.3224,                 1.7247,                 1.7154,                0.10983,                 0.7193,                0.14133,                0.09899,                  1.787,                 3.4919,                 2.0559,              0.0010046,              0.0010046,              0.0010046
                     93,                 1.2977,                 1.6642,                 1.7005,                0.11312,                0.70175,                0.18823,                 0.1488,                 1.8521,                 3.5915,                 2.1534,             0.00099987,             0.00099987,             0.00099987
                     94,                  1.291,                 1.7371,                 1.6887,                0.10839,                0.73684,                0.15398,                0.12092,                 1.7627,                 3.9574,                  2.007,             0.00099516,             0.00099516,             0.00099516
                     95,                 1.3379,                 1.7208,                 1.7255,                0.13415,                0.72368,                0.56536,                0.53956,                 1.7851,                 3.9969,                 2.0579,             0.00099044,             0.00099044,             0.00099044
                     96,                 1.2927,                  1.692,                 1.6935,                0.10082,                0.71491,                0.13925,                0.10369,                  1.823,                 3.8114,                 2.0587,             0.00098572,             0.00098572,             0.00098572
