                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                    114,                 1.2584,                 1.3135,                 1.6038,                0.62865,                0.52356,                0.54324,                0.32641,                 1.5359,                 1.5064,                 1.9188,              0.0012608,              0.0012608,              0.0012608
                    115,                 1.2046,                 1.2839,                 1.5845,                0.59343,                0.51309,                0.52756,                0.30893,                 1.5585,                 1.6011,                 1.9164,              0.0012542,              0.0012542,              0.0012542
                    116,                 1.2374,                 1.3238,                 1.5921,                0.65237,                0.50524,                0.53877,                0.32145,                 1.5485,                 1.5742,                 1.9093,              0.0012476,              0.0012476,              0.0012476
                    117,                 1.2357,                 1.3238,                 1.5968,                0.62987,                0.52356,                0.53464,                0.32382,                  1.528,                 1.5405,                 1.8882,               0.001241,               0.001241,               0.001241
                    118,                 1.1999,                 1.2696,                 1.5623,                0.64031,                0.49215,                0.54673,                0.32296,                 1.5786,                 1.5686,                   1.92,              0.0012344,              0.0012344,              0.0012344
                    119,                 1.2242,                 1.3042,                 1.5831,                0.52573,                0.44108,                0.40427,                0.21719,                 1.7708,                 1.8986,                 2.1675,              0.0012278,              0.0012278,              0.0012278
                    120,                  1.218,                 1.2787,                 1.5943,                0.63925,                0.46597,                0.52453,                0.31323,                 1.6202,                 1.6128,                 1.9541,              0.0012212,              0.0012212,              0.0012212
                    121,                 1.2479,                 1.3375,                 1.5995,                0.58198,                0.48691,                 0.5104,                0.29345,                  1.641,                 1.6611,                 1.9775,              0.0012146,              0.0012146,              0.0012146
                    122,                 1.1955,                 1.2269,                 1.5657,                0.60936,                0.51453,                0.53441,                 0.3206,                 1.5469,                 1.5579,                  1.897,               0.001208,               0.001208,               0.001208
                    123,                 1.2083,                 1.2935,                 1.5805,                0.66857,                0.50166,                0.54614,                0.32087,                 1.6052,                 1.5564,                 1.9761,              0.0012014,              0.0012014,              0.0012014
                    124,                 1.2172,                 1.2648,                 1.5863,                0.56878,                0.50524,                0.51547,                0.29867,                  1.591,                 1.6546,                 1.9275,              0.0011948,              0.0011948,              0.0011948
                    125,                 1.1694,                 1.2461,                 1.5505,                0.60253,                0.54764,                 0.5619,                0.33089,                 1.5737,                 1.5028,                 1.9155,              0.0011882,              0.0011882,              0.0011882
